url	verb	hash	graphname
https://search.idigbio.org/v2/search/records/?rq=%7B%22order%22%3A%22Chiroptera%22%2c%22hasImage%22%3A%22true%22%7D&limit=100&offset=0	http://purl.org/pav/hasVersion	hash://sha256/2ebe4283cc704e093fbed0fc49edb64d9873e9eca04c1d31a61961e843f841fd	urn:uuid:aa2ce2a1-e330-45dc-adbf-461ca742ecd3
https://search.idigbio.org/v2/view/mediarecords/b0be03d3-804c-428e-983c-a1044fe302f3	http://purl.org/pav/hasVersion	hash://sha256/e64bb60d84d308f323caae5a28209dae74a807e1dc692d101246ba2e9285c4c2	urn:uuid:3cb175e3-bb86-4c29-be56-e2020dfe56b2
https://api.idigbio.org/v2/media/b0be03d3-804c-428e-983c-a1044fe302f3?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/cb590b236222e6934102da41385591cd13fa95d73720c75c9b61f090b4f9e716	urn:uuid:6d188d5f-9d1c-4b83-9318-b9f5c43e5edb
https://api.idigbio.org/v2/media/b0be03d3-804c-428e-983c-a1044fe302f3?size=webview	http://purl.org/pav/hasVersion	hash://sha256/2945e8985ca1e86bcf5b8059a7573e02fe89083b53e7bee07ab7d270f8c8eaa5	urn:uuid:f87f3c35-3f6b-46b0-a30a-3f00ef9f0c1d
https://search.idigbio.org/v2/view/mediarecords/b3e4ea1c-1fcf-491a-9bc2-05a4da6d2378	http://purl.org/pav/hasVersion	hash://sha256/dffabb6882888bf7b8fdf32ecb891311db55925d537829962854572c7c77af95	urn:uuid:f69617f7-8045-4129-9b40-bf446057917e
https://api.idigbio.org/v2/media/b3e4ea1c-1fcf-491a-9bc2-05a4da6d2378?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/92c34b5cbf1ef4f61f8db4978c0bc787abbf0acb77b4e070dc713b4c38a2a1b0	urn:uuid:66d03f96-7182-4345-8c50-7bcf9c178d5e
https://api.idigbio.org/v2/media/b3e4ea1c-1fcf-491a-9bc2-05a4da6d2378?size=webview	http://purl.org/pav/hasVersion	hash://sha256/508b99b68dc78830084fafb68d3094d883d68f9bc2c9517560d4c632c449b601	urn:uuid:66fb707b-6fa6-4ea1-8f22-32b457838156
https://api.idigbio.org/v2/media/b3e4ea1c-1fcf-491a-9bc2-05a4da6d2378?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/a09a0c128e3831e7e77e803cee671345776ca1f8ea6083b383c01506ab288c33	urn:uuid:cbbaac1f-fdfd-4907-8bff-1db06681c02f
https://search.idigbio.org/v2/view/mediarecords/980dcbc0-22c8-439e-ac60-2f359e5a082d	http://purl.org/pav/hasVersion	hash://sha256/213128c5cba99cc3e24feef1e597ec37eb33072e62f3f42735adb4ca0aefb066	urn:uuid:f4bca654-336e-49f6-ab69-f3daaefb0eee
https://api.idigbio.org/v2/media/980dcbc0-22c8-439e-ac60-2f359e5a082d?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/ea16c6303b6b3a7c50430bb709c326b0e1b31f5bd6f86160f9144a8eafdbde2e	urn:uuid:0840f021-44fc-454b-a2ed-ae582999baec
